run_name,run_dir,project.run_name,project.output_dir,project.seed,project.device,project.num_workers,project.save_features,project.save_models,project.save_plots,project.run_dir_mode,project.reuse_existing_run,dataset.name,dataset.root,dataset.download,dataset.fixed_subset,dataset.split_dir,dataset.regenerate_subset,dataset.train_size,dataset.test_size,dataset.train_batch_size,dataset.eval_batch_size,dataset.normalize,dataset.mean,dataset.std,dataset.augment_train,dataset.random_crop_padding,dataset.random_horizontal_flip,dataset.random_affine_degrees,dataset.random_translate,dataset.pin_memory,feature.kind,feature.scale_before_cluster,feature.pca.n_components,feature.pca.whiten,feature.ae.model_type,feature.ae.latent_dim,feature.ae.hidden_dims,feature.ae.lr,feature.ae.weight_decay,feature.ae.epochs,feature.ae.loss,feature.cnn.arch,feature.cnn.channels,feature.cnn.embedding_dim,feature.cnn.dropout,feature.cnn.use_batchnorm,feature.cnn.training_type,feature.cnn.lr,feature.cnn.weight_decay,feature.cnn.epochs,feature.cnn.optimizer,clustering.method,clustering.n_clusters,clustering.kmeans.n_init,clustering.kmeans.max_iter,clustering.gmm.covariance_type,clustering.gmm.n_init,clustering.gmm.reg_covar,clustering.gmm.max_iter,evaluation.silhouette_sample_size,visualization.dataset_overview.enabled,visualization.dataset_overview.shared,visualization.dataset_overview.output_dir,visualization.dataset_overview.sample_count,visualization.dataset_overview.cols,visualization.feature_pca2.enabled,visualization.feature_pca2.splits,visualization.max_points_2d,visualization.cluster_samples_per_cluster,visualization.max_clusters_to_plot,visualization.mapped_class_grid.enabled,visualization.mapped_class_grid.split,visualization.mapped_class_grid.samples_per_class,visualization.mapped_class_grid.cols,visualization.tsne.enabled,visualization.tsne.sample_size,visualization.tsne.perplexity,batch.auto_compare,batch.continue_on_error,ARI,NMI,purity,silhouette,train_ARI,train_NMI,train_purity,train_silhouette,feature.foundation.provider,feature.foundation.model,feature.foundation.input_size
kmnist_ae32_e5_kmeans,outputs\runs\kmnist_ae32_e5_kmeans,kmnist_ae32_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,32,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.10943734381184274,0.24499543409762298,0.354,0.1409914195537567,0.25978068755163414,0.38449037716781276,0.50375,0.17387224733829498,,,
kmnist_ae64_e5_kmeans,outputs\runs\kmnist_ae64_e5_kmeans,kmnist_ae64_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,64,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.10044129111075184,0.24215437012747626,0.34833333333333333,0.14799122512340546,0.24712839125666813,0.386139861200465,0.5035,0.17142462730407715,,,
kmnist_ae16_e3_kmeans,outputs\runs\kmnist_ae16_e3_kmeans,kmnist_ae16_e3_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,16,"[256, 64]",0.001,0.0,3,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.09907778947183557,0.22119446588847014,0.329,0.18677392601966858,0.21383233209755,0.34133788716529523,0.45866666666666667,0.19290150701999664,,,
kmnist_pca100_kmeans,outputs\runs\kmnist_pca100_kmeans,kmnist_pca100_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,pca,True,100,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.09304433764125232,0.20548180954171621,0.304,-0.018840858712792397,0.17972205780291128,0.3121951672099951,0.4111666666666667,-0.008445270359516144,,,
kmnist_ae16_e15_kmeans,outputs\runs\kmnist_ae16_e15_kmeans,kmnist_ae16_e15_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,16,"[256, 64]",0.001,0.0,15,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.08782958653275179,0.21046990344931238,0.312,0.12078158557415009,0.18274812759095557,0.315122896614385,0.423,0.1288057267665863,,,
kmnist_ae8_e5_kmeans,outputs\runs\kmnist_ae8_e5_kmeans,kmnist_ae8_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,8,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.0844495236953764,0.2269243328386868,0.31766666666666665,0.17603875696659088,0.18906447887245575,0.35109028869250264,0.41883333333333334,0.19176577031612396,,,
kmnist_pca2_kmeans,outputs\runs\kmnist_pca2_kmeans,kmnist_pca2_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,pca,True,2,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.08443871004251241,0.18846326904815827,0.27066666666666667,0.333315372467041,0.1267178718338576,0.2414526207272184,0.31633333333333336,0.33793240785598755,,,
kmnist_ae16_e10_kmeans,outputs\runs\kmnist_ae16_e10_kmeans,kmnist_ae16_e10_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,16,"[256, 64]",0.001,0.0,10,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.07907489941877807,0.20331614690786196,0.296,0.12940755486488342,0.17612057899753986,0.3086749523275146,0.4131666666666667,0.13582879304885864,,,
cifar10_pca100_kmeans,outputs\runs\cifar10_pca100_kmeans,cifar10_pca100_kmeans,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,12000,3000,128,256,False,,,,,,,,True,pca,True,100,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,,,128,,,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.06617793444265972,0.1320228731036653,0.25766666666666665,-0.04827322065830231,0.06198844414287143,0.12288450395517884,0.24816666666666667,-0.03168907389044762,,,
cifar10_pca20_kmeans,outputs\runs\cifar10_pca20_kmeans,cifar10_pca20_kmeans,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,pca,True,20,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.06454336833578984,0.12834379489976505,0.25533333333333336,0.029595138505101204,0.05561413137897523,0.10808975929705368,0.24283333333333335,0.030941592529416084,,,
